V011,AP0001,AP0002,AP0003,AP0004,AP0005,AP0006,AP0007,AP0008,AP0009,AP0010,AP0011,AP012,AP0013,AP0014,AP015,AP0016,AP0019,AP0020,AP0062,DOMPRECDOMEXP,DOMPRECRESEXP,ADENSEXCDOMEXP,ADENSEXCRESEXP,ONUSEXCDOMEXP,ONUSEXCRESEXP,COABFAMDOMEXP,COABFAMRESEXP
3501608005001,4837,5730,10567,"50,25",9647,192,136,578,14,10047,"2343,9913",0,2319,13,4139,10687,4105,34,"5557,04","9,55","273,47",0,0,"308,77","7437,46",90,"2692,37"
3501608005002,12565,12814,25379,"40,96",18150,1079,100,6022,28,22656,"906,4635",0,7674,55,7798,25689,7740,57,"2612,0478","11,43","392,24","126,68","6781,94","333,07","9981,66",686,"21483,1"
3501608005003,6961,6733,13694,"40,74",9551,456,81,3606,0,12138,"1162,4188","7454,36",3673,359,4157,13776,3779,378,"3295,0693","78,55","2938,52","39,05","2459,03","111,92","4361,42",235,"11417,61"
3501608005004,15468,15874,31342,"43,78",24835,757,480,5270,0,28434,"1219,9339","30122,05",9322,19,10296,31583,10135,161,"3300,5571","20,22","1270,02","138,96","6971,32","496,56","12969,88",484,"13457,96"
3501608005005,11625,11792,23417,"43,53",18609,570,269,3968,0,21475,"1540,0527","30866,38",6394,0,7713,23704,7614,99,"4166,028","8,57","220,54","120,49","6111,76","373,83","10235,49",337,"8103,21"
3501608005006,17814,18298,36112,"40,34",26459,1327,191,8068,67,32617,"869,8995",0,10246,0,10708,36315,10659,49,"2566,5568","21,94","575,78","149,51","10134,76","374,62","10540,92",783,"27769,5"
3501608005007,7053,7546,14599,"43,02",11905,491,183,2012,8,13504,"1467,3178",0,4318,20,5082,14777,4897,185,"3893,0493",0,0,"42,43","1812,44","148,83","2239,02",259,"6394,37"
3501608005008,8151,8769,16920,"47,03",15346,196,200,1163,15,15871,"1969,2619",0,4571,0,5772,17104,5314,458,"5251,0127",0,0,"27,03","2081,1","293,39","5469,39",305,"8501,34"
3501608005009,5496,6185,11681,"47,85",10086,158,97,1105,0,10852,"1483,4727","13523,74",3171,0,4207,11862,3647,560,"3796,366","9,66","279,94","14,71","499,13","175,55","5043,02",208,"7312,64"
3501608005010,13204,13723,26927,"44,85",20014,668,116,6104,24,24017,"982,2354","18771,33",8212,0,8390,27103,8330,60,"2757,091","38,17","1760,25","172,24","8834,57","493,99","13184,71",625,"19540,49"
3503208005001,6124,6582,12706,"46,05",10134,711,209,1622,30,11552,"1342,9298",0,3837,85,4489,12823,4226,263,"3540,5778",0,0,"27,65","1274,78","69,06","2498,51",251,"7511,99"
3503208005002,6119,6679,12798,"51,08",8371,798,24,3605,0,11475,"872,2831",0,3233,0,4171,12893,4154,17,"2292,7954",0,0,"33,78","1888,06","121,17","2527,91",248,"7977,48"
3503208005003,6510,7314,13824,"48,46",11277,430,116,1979,22,13027,"1540,9206",0,4527,11,5015,14009,5014,0,"3949,2237","8,88","157,86","33,05","1742,51","207,65","3980,44",221,"5307,52"
3503208005004,4959,6418,11377,"51,35",10257,212,265,599,44,10947,"2698,0777",0,3029,9,4663,11678,4490,172,"6287,9642","23,54","424,06","35,75","1494,61","166,73","3277,22",136,"4672,46"
3503208005005,7079,8135,15214,"48,41",13335,511,248,1097,23,14403,"1714,8504",0,4990,32,5428,15514,5419,9,"4437,7827","22,43","391,63","16,49","1904,38","199,81","6762,38",257,"9782,34"
3503208005006,5799,6176,11975,"46,31",9650,492,147,1686,0,10934,"1321,0337",0,3608,135,4122,12104,4089,33,"3478,3424",0,0,"10,1","713,39","85,28","2791,71",161,"5276,42"
3503208005007,7159,7429,14588,"40,25",9081,793,96,4618,0,12707,"811,0621",0,4366,77,4460,14647,4444,16,"2281,2301",0,0,"28,82","2515,04","79,19","2173,68",310,"11021,97"
3503208005008,8174,8206,16380,"46,57",8501,1484,74,6311,11,13937,"644,8229","6616,57",4902,15,4961,16555,4917,44,"1809,3932","20,91","340,83","77,86","4168,69","80,49","2565,27",361,"16002,86"
3503208005009,6274,7174,13448,"46,09",10722,754,148,1813,10,12548,"1223,3846","6344,59",4348,21,4747,13582,4673,74,"3174,5752","12,44","154,76","62,34","2978,49","165,45","2984,52",214,"6699,01"
3503208005010,5658,6447,12105,"48,37",9638,767,241,1459,0,11245,"1206,6482",0,3487,0,4241,12256,4182,59,"3145,9129","20,89","901,31","27,42","1195,65",132,"2851,86",276,"8154,68"
3503208005011,6073,6521,12594,"45,40",9023,645,124,2786,15,11383,"835,2652","10167,34",3557,0,4103,12661,4022,81,"2273,4642","9,24","85,43","83,87","4593,06","176,59","6497,43",225,"7203,99"
3503208005012,7790,8175,15965,"43,30",8892,1595,81,5397,0,13769,"715,7625",0,4830,64,4912,16072,4905,8,"1961,2723","8,13","198,33","69,2","4558,54","150,47","6435,63",254,"9804,15"
3503208005013,7552,8093,15645,"42,22",9166,1273,72,5103,31,13830,"687,8258",0,4630,0,4642,15761,4642,0,"1983,2117","52,41","3720,22","56,45","4366,21","32,83","979,4",271,"9021,52"
3503208005014,7318,7969,15287,"41,71",12072,579,215,2421,0,13951,"1612,6828",0,4658,70,5208,15405,5126,82,"4213,1783",0,0,"22,73","1061,76","167,18","3570,92",237,"9212,19"
3503208005015,8067,6689,14756,"42,33",9782,874,70,4005,25,12713,"961,8352",0,3481,475,5324,14896,3133,2191,"2616,8497","19,93","530,42","11,51","530,23","85,49","2203,52",303,"7459,13"
3505708005001,7589,8226,15815,"43,61",10157,845,260,4553,0,14291,"1219,7327",0,4568,11,4980,15944,4951,30,"3416,9979",0,0,"144,06","7215,55","267,21","7443,58",326,"12582,67"
3505708005002,7500,7806,15306,"45,27",7984,800,240,6259,23,13295,"862,42",0,4185,10,4440,15375,4364,76,"2506,9746","14,44","834,21","149,98","9694,33","284,84","8730,17",327,"11559,09"
3505708005003,7015,7223,14238,"44,43",7985,980,84,5190,0,12262,"798,1568",0,4096,134,4250,14312,4239,11,"2233,2713","26,28","1295,78","213,65","14764,81","224,34","7100,85",208,"5531,65"
3505708005004,7263,8036,15299,"47,02",7368,1348,117,6448,19,13349,"738,9492",0,2271,213,4452,15398,4431,22,"2134,9619",0,0,"158,4","8718,64","226,6","8846,92",347,"10337,67"
3505708005005,8281,8635,16916,"42,27",6514,1548,209,8644,0,14317,"644,4793",0,4356,0,4908,17030,4908,0,"1849,4632","27,12","1503,82","242,94","14838,47","322,11","11203,87",289,"9657,26"
3505708005006,12330,12812,25142,"39,85",11329,1942,273,11527,71,21544,"683,1363",0,6545,0,7297,25241,7287,10,"1975,8608","19,91","479,22","314,28","17419,5","600,72","21557,2",426,"11303,81"
3505708005007,8123,8768,16891,"50,25",8381,949,122,7402,37,14784,"773,4482",0,5066,20,5109,17004,5109,0,"2183,9066",0,0,"245,2","11684,19","230,68","7364,27",388,"10072,9"
3505708005008,11881,12350,24231,"45,97",14218,1063,151,8791,8,21414,"1360,6077",0,5741,851,7163,24439,7112,50,"3878,4027","10,64","678,62","190,95","14493,75","349,15","15918,25",513,"21628,89"
3505708005009,8441,8705,17146,"40,78",8597,1349,175,7025,0,14755,"794,883","11757,12",4847,170,5138,17215,5039,100,"2252,1583","42,43","1126,81","213,43","10307,97","237,03","7470,01",379,"9000,89"
3505708005010,9860,10441,20301,"44,34",10617,1030,138,8504,13,17740,"731,8413",0,5764,0,6011,20382,5895,116,"2100,0081","8,33","277,81","307,84","16111,84","459,33","13457,72",366,"9787,84"
3505708005011,6716,7060,13776,"44,10",7407,892,123,5333,0,12162,"957,9061",0,3584,77,4221,13830,4161,61,"2644,7151","24,07","1130,1","120,33","6393,5","216,84","7604,79",221,"8978,14"
3505708005012,7146,8010,15156,"45,96",14046,96,454,561,0,14279,"6569,0075",0,1020,1376,5308,15371,5244,64,"16976,8393","37,49","735,06",0,0,"12,03","434,1",93,"2472,94"
3505708005013,14906,15626,30532,"47,00",12318,2012,258,15891,29,26250,"589,4746",0,7979,202,8632,30608,8600,32,"1738,4656","10,35","428,2","345,92","18019,28","555,05","19562,06",478,"14481,96"
3506003005001,6857,8490,15347,"47,24",13053,524,611,1159,0,14628,"2610,0753","34711,23",4087,31,6273,15557,6084,189,"5996,9043","24,29","341,64",0,0,"434,32","9041,39",254,"7258,13"
3506003005002,10254,11321,21575,"45,36",16196,843,308,4197,30,19750,"1725,2238",0,4500,76,7549,21820,7323,226,"4373,0636","25,77","691,99","8,42","283,3","334,02","7908,24",454,"13359,5"
3506003005003,6853,7596,14449,"46,28",11382,626,141,2271,30,13209,"1140,5169",0,4421,0,4817,14548,4806,10,"3054,4662","15,82","195,31","36,49","1927,99","136,23","4021,96",272,"7331,53"
3506003005004,9242,10828,20070,"47,19",17700,403,664,1252,51,18980,"2763,9114",0,4203,10,8083,20258,8010,73,"6353,9606",0,0,"50,76","7283,15","533,73","11878,99",218,"9526,86"
3506003005005,12121,13015,25136,"42,29",17315,1299,224,6289,9,22741,"862,773",0,7778,8,7816,25418,7752,64,"2433,4508","165,17","5969,71","61,65","4124,5","209,88","5455,21",512,"14038,23"
3506003005006,7192,7498,14690,"40,76",10121,761,89,3684,35,13095,"893,4394","7872,89",4376,0,4477,14832,4079,399,"2533,6442","10,5","110,19","30,81","1868,19","138,5","5293,51",279,"10130,95"
3506003005007,11865,12728,24593,"44,57",15716,1536,398,6902,41,21949,"929,4901","34340,07",7109,48,7752,24714,7631,121,"2557,1343","79,56","2467,19","63,79","3881,37","299,13","7952,73",534,"16359,34"
3506003005008,8786,9362,18148,"40,86",11018,1239,90,5776,25,16066,"661,4997","25494,27",5232,0,5268,18358,5143,125,"1950,9795",117,"4723,01","117,58","9310,73","139,82","5746,13",541,"19690,88"
3506003005009,13957,14969,28926,"44,67",17466,1893,258,9266,43,25262,"760,0677",0,8394,13,8543,29171,8487,56,"2177,3419","148,89","5343,58","96,2","5347,75","289,55","7222,32",811,"28606,92"
3506003005010,14275,12209,26484,"42,90",18415,1590,523,5927,29,24172,"1043,6733",0,7207,18,10947,26780,7220,3726,"2876,3117","40,11","891,9","107,55","5048,21","183,52","4803,64",557,"14344,75"
3506003005011,9041,9636,18677,"47,55",13625,625,337,4082,8,16830,"911,3296",0,5875,0,5975,18863,5926,50,"2516,0178","24,52","738,53","46,56","2646,63","240,56","5841,17",473,"15831,77"
3506003005012,10592,11071,21663,"45,91",12815,1097,203,7515,32,18677,"717,0163",0,6292,0,6353,21772,6308,45,"2041,2513","16,7","858,86","52,43","2483,96","152,69","5362,65",473,"13017,11"
3506003005013,10877,11574,22451,"42,65",15003,1101,408,5817,123,19934,"876,8691",0,6155,54,7158,22592,6986,172,"2390,112","81,32","2425,97","99,67","5439,13","221,62","5903,96",484,"17043,55"
3506003005014,7489,8135,15624,"45,42",11584,455,306,3230,50,14192,"1106,8664","22956,95",4599,156,5097,15785,5086,11,"2983,384","38,18","814,11","55,59","3623,6","150,09","4251,49",217,"7895,77"
3506003005015,11851,12179,24030,"41,34",14401,1514,143,7959,12,20988,"746,1129","5294,15",7070,0,7208,24212,6983,225,"2117,7137","66,5","1679,63","120,72","6194,62","144,25","4185,89",520,"19975,75"
3506003005016,6400,6780,13180,"48,76",9442,649,445,2598,46,11937,"1504,7511",0,3597,314,4244,13319,4109,135,"4068,4813","75,84","4400,18","42,55","3339,82","64,48","1519,89",255,"8626,09"
3506003005017,8997,9897,18894,"47,39",16451,538,531,1355,19,17292,"3558,337","31725,08",3675,841,6482,19179,6278,204,"9289,589","173,45","8316,52","12,75","650,61","108,25","1615,68",232,"8521,59"
3509502005001,2899,2712,5611,"45,34",3683,380,27,1469,53,4890,"1351,2681","2330,21",1574,133,1749,5635,679,1070,"3781,9834","3,88","15,08","5,21","108,39","12,9","439,02",125,"2007,87"
3509502005002,9450,10012,19462,"45,17",15614,652,188,3001,7,17954,"2476,8408","18016,84",4236,1698,6191,19595,5904,287,"7044,3561","47,64","1862,05","77,77","5640,21","86,99","3593,83",386,"12514,84"
3509502005003,12819,13087,25906,"43,17",19955,1111,212,4523,83,23585,"2281,5729",0,6738,1488,8633,26466,8319,314,"6168,09",0,0,"46,51","4339,9","420,69","17357,3",453,"24107,48"
3509502005004,16587,16472,33059,"46,31",26837,398,715,5109,0,30337,"3012,6581",0,7740,1976,10698,33372,8673,2026,"8409,0776","70,92","7007,15","98,87","11373,9","334,3","22259,55",556,"38220,79"
3509502005005,14655,16531,31186,"45,77",24381,876,1681,4248,0,29560,"2201,4179",0,8275,252,10893,31611,10666,227,"5847,1663",0,0,"122,22","30861,75","345,87","12187,94",508,"78651,47"
3509502005006,14505,15901,30406,"49,96",24441,1338,893,3716,19,28005,"2467,7683",0,6143,347,10699,30872,10612,87,"6339,4434",0,0,"19,61","1922,06","195,58","10853,73",558,"30762,31"
3509502005007,12418,14121,26539,"44,11",22813,642,750,2334,0,24884,"2086,6738",0,4823,47,9693,26759,9532,161,"5259,5673",0,0,"58,82","8942,02","387,11","14744,81",543,"31407,13"
