AP,AP0015,AP0016,AP0017,AP0018,AP0019,AP0020,AP0021,AP0022,AP0023,AP0024,AP0025,AP0026,AP0027,AP0028,AP0029,AP0030,AP0031,AP0032,AP0033,AP0034,AP0035,AP0036,AP0037,AP0038,AP0039,AP0040,AP0041,AP0042,AP0043,AP0044,AP0045,AP0046,AP0047,AP0048,AP0049,AP0050,AP0051,AP0052,AP0053,AP0054,AP0055,AP0056,AP0057,AP0058,AP0059,AP0060,AP0061,AP0062,AP0063,AP0064,AP0065,AP0066,AP0067,AP0068,AP0069,AP0070,AP0071,AP0072,AP0073,AP0074,AP0075,AP0076
3543402,"195275,86","600394,2779","195050,60","192481,72","190493,65","1988,07","2568,88","2538,22","30,66","225,26","169805,18","192927,67","149735,05","194121,11","116460,94","99721,91","51713,01","130387,75","179707,474","14028,29074","79,19102797",0,0,"611,5501381","13,23526741","836,1146178","190,4429248","2916,293421","12510,31827","25365,12599","47059,02624","30732,67045","26644,00557","49857,97291","96290,80137","273868,4457","194499,9736","35735,05725","529869,4682","205125,6342","14583,36825","25182,41395","28567,81712","256410,2347","189888,7957","189617,8247","270,9710084","4047,831978","4051,035721","1805,943352",2410,2419,1200,"529869,4682","73349,01315","138254,2678","63412,67418","55499,99764","39886,64444","16353,03484","8097,193151","135016,643"
3543402005001,"10452,00",23610,"10452,00","10387,58","10387,58","0,00","64,42","64,42","0,00","0,00","8753,17","10274,15","8619,11","10352,20","7722,45","7411,85","1032,83","7122,44","10271,79247","180,2075334",0,0,0,0,0,0,"77,09218972","212,6589827","556,173378","1060,669643","854,6646554","1098,742258","1646,93974","4945,059154","6140,660624","7798,241685","7105,77525","2565,322441","22386,06957","7779,143985","496,0625314","1313,470988","1718,901937","11078,49013","9720,503952","9720,503952",0,"7864,251456","7864,251456",0,4500,4500,0,"22386,06957","1672,975015","3416,821319","2336,914737","3347,791829","3432,223316","2302,609023","1287,145237","4589,589095"
3543402005002,"12805,00",36124,"12805,00","12787,53","12787,53","0,00","17,47","17,47","0,00","0,00","11317,36","12727,94","9893,69","12730,28","7268,62","6449,53","3025,15","7725,93","12542,57297","262,4270302",0,0,0,0,0,0,"23,01499597","141,0661312","536,1152821","1803,659572","3672,511606","2313,977844","1802,293764","2512,360804","6243,262196","17342,17491","11562,04724","976,5156623","32867,47878","12207,71656","1067,321934","1995,075729","3058,576455","14538,7881","12622,28908","12622,28908",0,"3171,126008","3171,126008",0,2400,2400,0,"32867,47878","5090,113232","9250,550275","4194,973189","4023,514576","2342,881134","826,4378542","177,2392209","6961,769298"
3543402005003,"8495,00",27781,"8495,00","8495,00","8495,00","0,00","0,00","0,00","0,00","0,00","7308,84","8209,10","5260,62","8387,17","3193,43","2161,27","2660,27","3873,79","8004,094863","475,9182609",0,0,0,0,0,"14,9868763","20,71894131","277,3847468","1084,968221","1400,188152","2560,031314","1406,991813","846,5644618","898,1523504","5837,337538","15004,67358","5785,077382","1153,911498","24018,6239","8291,916633","1055,093898","1011,145232","1641,681896","12018,78624","8329,220845","8329,220845",0,"2167,487977","2167,487977",0,1654,1654,0,"24018,6239","4649,514611","7322,892005","3002,603025","1607,585816","620,5017712","165,4382695",0,"6650,088405"
3543402005004,"10508,70","35157,69955","10508,70","10471,95","10457,69","14,26","36,75","36,75","0,00","0,00","9168,69","10416,42","7381,16","10471,35","4770,22","3969,41","3557,23","5764,22","9210,591966","1284,872312",0,0,0,0,"13,23526741",0,0,"154,9583252","1016,285583","1304,058032","3564,192562","1728,641642","1201,238115","1539,325286","5469,312643","17239,55231","10103,86355","2344,971042","30207,43487","10787,7943","887,2087939","1251,220922","1782,769885","15498,44096","10075,79646","10075,79646",0,"2328,863399","2328,863399",0,1820,1820,0,"30207,43487","5283,505114","9419,79036","3159,509467","2577,719101","653,9505029","130,1743225","121,9604222","8860,82558"
3543402005005,"8814,00",31428,"8814,00","8777,81","8724,36","53,45","36,19","36,19","0,00","0,00","7850,04","8740,97","7135,64","8814,00","5527,32","4505,95","3912,07","6447,09","7684,942789","950,1563787",0,0,0,0,0,"178,9008327",0,"88,40435467","461,4086976","833,5955884","2372,323452","1519,799524","1599,155217","1939,313167","2369,517203","15240,65692","11874,73768","1943,088201","27210,26656","10681,05442","810,3642592","1210,260806","1143,644995","13364,94208","8707,187946","8653,734793","53,45315371","2801,655677","2808,877287","1632,521809",2305,2310,2080,"27210,26656","3910,045357","8024,713286","3725,732733","2509,263076","1269,424806","196,7316902","54,01594486","7520,339665"
3543402005006,"12636,80","42052,23077","12458,85","12439,09","11979,78","459,31","19,76","0,00","19,76","177,95","10778,99","12423,03","8990,10","12570,62","6631,57","4858,76","4599,71","8307,97","10754,41987","1807,963957","26,1476118",0,0,"48,2705293",0,0,"28,36122696","144,6114518","986,2619751","2434,051857","3307,962183","2377,123547","1644,470946","1713,958778","6459,230375","22678,00932","11523,05762","1391,933456","35313,23718","14215,40601","926,4821293","1281,024625","1122,583474","17767,74094","12324,96513","12275,46214","49,50298801","2868,482177","2878,535962","375,4034203",2100,2100,250,"35313,23718","4860,412023","10806,83299","4711,038762","3355,362562","1580,685438","353,0333779","152,7760537","9493,095976"
3543402005007,"9395,18","30218,88432","9395,18","9332,51","8755,29","577,22","62,67","62,67","0,00","0,00","8223,91","9395,18","7936,96","9374,76","6700,47","5856,55","2434,39","7524,39","8837,023495","537,3097758",0,0,0,0,0,"20,84481154",0,"101,801813","388,8764351","637,4986476","1768,608629","1175,118217","1632,992183","3690,282158","3379,118151","11008,85967","14042,06584","1788,840662","27800,59677","11954,69574","760,6504475","1377,000156","886,5631641","12821,68726","9230,968128","9189,703262","41,26486666","4949,42541","4965,597288","1347,941317",3000,3000,1150,"27800,59677","3282,369235","6075,867441","2930,36626","2679,695019","2781,55459","1525,921124","554,417864","7970,405232"
3543402005008,"9107,00",22782,"9107,00","9107,00","9107,00","0,00","0,00","0,00","0,00","0,00","8047,13","9069,07","8030,76","9088,25","7026,84","6491,94","1501,00","7038,38","8964,392763","73,56647296",0,0,0,0,0,"69,04076407",0,"97,7755659","231,9876424","806,6522774","1195,675334","1856,089368","1518,448949","3400,370863","3646,640488","8887,766573","8743,63633","1503,956609","21149,33888","7722,455341","661,0736911","1302,780015","1577,703457","9885,326375","8894,465219","8894,465219",0,"4872,124846","4872,124846",0,3300,3300,0,"21149,33888","1751,874946","3873,038289","2590,271876","3975,255764","3300,734075","1146,844215","351,4340656","4159,885649"
3543402005009,"8831,00",26237,"8831,00","8831,00","8831,00","0,00","0,00","0,00","0,00","0,00","7586,93","8771,12","7872,78","8807,63","6497,56","5954,54","2056,34","7197,20","8588,970226","219,3268248",0,0,0,"22,70294895",0,0,0,"100,9407813","252,4939272","774,7731249","1331,421539","1454,096469","1856,033272","3061,240886","3531,685788","9938,325443","11155,92209","1611,066681","23224,29161","10733,59798","585,452829","1022,737585","831,9324951","10050,57072","8647,911782","8647,911782",0,"4427,799572","4427,799572",0,3100,3100,0,"23224,29161","2511,777746","5051,745481","2914,932263","3015,052829","2802,170533","992,8129099","242,4012532","5693,398595"
